date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:51	7715/7715	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2018:20:42%20GMT	https://www.pidkeys.com/index/check/redeem.html	C:/My%20Web%20Sites/new/www.pidkeys.com/index/check/redeem.html	(from )
23:50:52	24/24	---M--	200	added ('OK')	text/plain	etag:%2262946b4e-18%22	https://www.pidkeys.com/robots.txt		(from )
23:50:52	386952/386952	---MCZ	200	added ('OK')	text/css	etag:W/%2263a16798-5e788%22	https://www.pidkeys.com/assets/css/frontend.min.css?v=1.0.31	C:/My%20Web%20Sites/new/www.pidkeys.com/assets/css/frontend.min64fe.css	(from https://www.pidkeys.com/index/check/redeem.html)
23:50:52	1447/1447	---MCZ	200	added ('OK')	text/css	etag:W/%2262946b4e-5a7%22	https://www.pidkeys.com/assets/css/user.css?v=1.0.31	C:/My%20Web%20Sites/new/www.pidkeys.com/assets/css/user64fe.css	(from https://www.pidkeys.com/index/check/redeem.html)
23:50:53	8224/8224	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2018:20:44%20GMT	https://www.pidkeys.com/index/check/pid.html	C:/My%20Web%20Sites/new/www.pidkeys.com/index/check/pid.html	(from https://www.pidkeys.com/index/check/redeem.html)
23:50:53	5363/5363	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2018:20:44%20GMT	https://www.pidkeys.com/index/check/iid.html	C:/My%20Web%20Sites/new/www.pidkeys.com/index/check/iid.html	(from https://www.pidkeys.com/index/check/redeem.html)
23:50:53	4263/4263	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2018:20:45%20GMT	https://www.pidkeys.com/index/check/iso.html	C:/My%20Web%20Sites/new/www.pidkeys.com/index/check/iso.html	(from https://www.pidkeys.com/index/check/redeem.html)
23:50:53	5161/5161	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2018:20:45%20GMT	https://www.pidkeys.com/index/check/about.html	C:/My%20Web%20Sites/new/www.pidkeys.com/index/check/about.html	(from https://www.pidkeys.com/index/check/redeem.html)
23:50:53	17662/17662	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262946b4e-44fe%22	https://www.pidkeys.com/assets/js/require.min.js	C:/My%20Web%20Sites/new/www.pidkeys.com/assets/js/require.min.js	(from https://www.pidkeys.com/index/check/redeem.html)
23:50:54	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Dec%202022%2018:20:45%20GMT	https://www.pidkeys.com/assets/img/boxed-bg.jpg	C:/My%20Web%20Sites/new/www.pidkeys.com/assets/img/boxed-bg.jpg	(from https://www.pidkeys.com/assets/css/frontend.min.css?v=1.0.31)
23:50:56	906669/906669	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263918ed0-dd5ad%22	https://www.pidkeys.com/assets/js/require-frontend.min.js?v=1.0.31	C:/My%20Web%20Sites/new/www.pidkeys.com/assets/js/require-frontend.min64fe.js	(from https://www.pidkeys.com/index/check/redeem.html)
